project,class,src,llm_directory
GateCore,gate.corpora.SerialCorpusImpl,src/main/java/gate/corpora/SerialCorpusImpl,GateCore/gate/corpora/SerialCorpusImpl
GateCore,gate.corpora.CorpusImpl,src/main/java/gate/corpora/CorpusImpl,GateCore/gate/corpora/CorpusImpl
GateCore,gate.corpora.DocumentImpl,src/main/java/gate/corpora/DocumentImpl,GateCore/gate/corpora/DocumentImpl
GateCore,gate.corpora.DocumentStaxUtils,src/main/java/gate/corpora/DocumentStaxUtils,GateCore/gate/corpora/DocumentStaxUtils
GateCore,gate.annotation.AnnotationSetImpl,src/main/java/gate/annotation/AnnotationSetImpl,GateCore/gate/annotation/AnnotationSetImpl
GateCore,gate.annotation.AnnotationImpl,src/main/java/gate/annotation/AnnotationImpl,GateCore/gate/annotation/AnnotationImpl
GateCore,gate.creole.annic.lucene.QueryParser,src/main/java/gate/creole/annic/lucene/QueryParser,GateCore/gate/creole/lucene/QueryParser
Mallet,cc.mallet.types.SparseVector,src/cc/mallet/types/SparseVector,Mallet/cc/mallet/types/SparseVector
Mallet,cc.mallet.types.AugmentableFeatureVector,src/cc/mallet/types/AugmentableFeatureVector,Mallet/cc/mallet/types/AugmentableFeatureVector
Mallet,cc.mallet.classify.NaiveBayes,src/cc/mallet/classify/AugmentableFeatureVector,Mallet/cc/mallet/classify/AugmentableFeatureVector
Mallet,cc.mallet.classify.MaxEnt,src/cc/mallet/classify/MaxEnt,Mallet/cc/mallet/classify/MaxEnt
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelLikelihood,src/cc/mallet/classify/MaxEntOptimizableByLabelLikelihood,Mallet/cc/mallet/classify/MaxEntOptimizableByLabelLikelihood
Mallet,cc.mallet.classify.MaxEntOptimizableByLabelDistribution,src/cc/mallet/classify/MaxEntOptimizableByLabelDistribution,Mallet/cc/mallet/classify/MaxEntOptimizableByLabelDistribution
Mallet,cc.mallet.classify.NaiveBayesTrainer,src/cc/mallet/classify/NaiveBayesTrainer,Mallet/cc/mallet/classify/NaiveBayesTrainer
Mallet,cc.mallet.cluster.KMeans,src/cc/mallet/cluster/KMeans,Mallet/cc/mallet/cluster/KMeans
Mallet,cc.mallet.fst.HMM,src/cc/mallet/fst/HMM,Mallet/cc/mallet/fst/HMM
Mallet,cc.mallet.fst.CRF,src/cc/mallet/fst/CRF,Mallet/cc/mallet/fst/CRF
Mallet,cc.mallet.fst.SumLatticeBeam,src/cc/mallet/fst/SumLatticeBeam,Mallet/cc/mallet/fst/SumLatticeBeam
Mallet,cc.mallet.topics.ParallelTopicModel,src/cc/mallet/topics/ParallelTopicModel,Mallet/cc/mallet/topics/ParallelTopicModel
Mallet,cc.mallet.topics.LDAHyper,src/cc/mallet/topics/LDAHyper,Mallet/cc/mallet/topics/LDAHyper
Mallet,cc.mallet.topics.TopicalNGrams,src/cc/mallet/topics/TopicalNGrams,Mallet/cc/mallet/topics/TopicalNGrams
CogCompNLP,edu.illinois.cs.cogcomp.comma.datastructures.Comma,commasrl/src/main/java/edu/illinois/cs/cogcomp/comma/datastructures/Comma,CogCompNLP/edu/illinois/cs/cogcomp/comma/datastructures/Comma
CogCompNLP,edu.illinois.cs.cogcomp.ner.ClassifiersAndUtils.MemoryEfficientNB,ner/src/main/java/edu/illinois/cs/cogcomp/ner/ClassifiersAndUtils/MemoryEfficientNB,CogCompNLP/edu/illinois/cs/cogcomp/ner/ClassifiersAndUtils/MemoryEfficientNB
CogCompNLP,edu.illinois.cs.cogcomp.ner.NERAnnotator,ner/src/main/java/edu/illinois/cs/cogcomp/ner/NERAnnotator,CogCompNLP/edu/illinois/cs/cogcomp/ner/NERAnnotator
CogCompNLP,edu.illinois.cs.cogcomp.pos.MikheevLearner,pos/src/main/java/edu/illinois/cs/cogcomp/pos/MikheevLearner,CogCompNLP/edu/illinois/cs/cogcomp/pos/MikheevLearner
CogCompNLP,edu.illinois.cs.cogcomp.pos.POSBaselineLearner,pos/src/main/java/edu/illinois/cs/cogcomp/pos/POSBaselineLearner,CogCompNLP/edu/illinois/cs/cogcomp/pos/POSBaselineLearner
CogCompNLP,edu.illinois.cs.cogcomp.nlp.tokenizer.TokenizerStateMachine,tokenizer/src/main/java/edu/illinois/cs/cogcomp/tokenizer/TokenizerStateMachine,CogCompNLP/edu/illinois/cs/cogcomp/tokenizer/TokenizerStateMachine
CogCompNLP,org.cogcomp.md.BIOReader,md/src/main/java/org/cogcomp/md/BIOReader,CogCompNLP/org/cogcomp/md/BIOReader
CogCompNLP,org.cogcomp.re.RelationFeatureExtractor,relation-extraction/src/main/java/org/cogcomp/re/RelationFeatureExtractor,CogCompNLP/org/cogcomp/re/RelationFeatureExtractor
CogCompNLP,org.cogcomp.md.MentionAnnotator,md/src/main/java/org/cogcomp/md/MentionAnnotator,CogCompNLP/org/cogcomp/md/MentionAnnotator
