project,class,src,llm_directory
CoreNLP,edu.stanford.nlp.parser.lexparser.ExhaustivePCFGParser,src/edu/stanford/nlp/parser/lexparser/ExhaustivePCFGParser,CoreNLP/edu/stanford/nlp/parser/lexparser/ExhaustivePCFGParser
CoreNLP,edu.stanford.nlp.parser.lexparser.SplittingGrammarExtractor,src/edu/stanford/nlp/parser/lexparser/SplittingGrammarExtractor,CoreNLP/edu/stanford/nlp/parser/lexparser/SplittingGrammarExtractor
CoreNLP,edu.stanford.nlp.pipeline.CorefAnnotator,src/edu/stanford/nlp/pipeline/CorefAnnotator,CoreNLP/edu/stanford/nlp/pipeline/CorefAnnotator
CoreNLP,edu.stanford.nlp.pipeline.CorefMentionAnnotator,src/edu/stanford/nlp/pipeline/CorefMentionAnnotator,CoreNLP/edu/stanford/nlp/pipeline/CorefMentionAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ChineseSegmenterAnnotator,src/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator,CoreNLP/edu/stanford/nlp/pipeline/ChineseSegmenterAnnotator
CoreNLP,edu.stanford.nlp.pipeline.JSONOutputter,src/edu/stanford/nlp/pipeline/JSONOutputter,CoreNLP/edu/stanford/nlp/pipeline/JSONOutputter
CoreNLP,edu.stanford.nlp.pipeline.LabeledChunkIdentifier,src/edu/stanford/nlp/pipeline/LabeledChunkIdentifier,CoreNLP/edu/stanford/nlp/pipeline/LabeledChunkIdentifier
CoreNLP,edu.stanford.nlp.sentiment.SentimentModel,src/edu/stanford/nlp/sentiment/SentimentModel,CoreNLP/edu/stanford/nlp/sentiment/SentimentModel
CoreNLP,edu.stanford.nlp.parser.lexparser.EnglishTreebankParserParams,src/edu/stanford/nlp/parser/lexparser/EnglishTreebankParserParams,CoreNLP/edu/stanford/nlp/parser/lexparser/EnglishTreebankParserParams
CoreNLP,edu.stanford.nlp.pipeline.WordsToSentencesAnnotator,src/edu/stanford/nlp/pipeline/WordsToSentencesAnnotator,CoreNLP/edu/stanford/nlp/pipeline/WordsToSentencesAnnotator
CoreNLP,edu.stanford.nlp.pipeline.ParserAnnotator,src/edu/stanford/nlp/pipeline/ParserAnnotator,CoreNLP/edu/stanford/nlp/pipeline/ParserAnnotator
CoreNLP,edu.stanford.nlp.process.PTBTokenizer,src/edu/stanford/nlp/process/PTBTokenizer,CoreNLP/edu/stanford/nlp/process/PTBTokenizer
